"","Sample ID","pH","Temperature (°C)","Turbidity (NTU)","Dissolved Oxygen (mg/L)","Conductivity (µS/cm)","Tipo_de_Zona","Uso_del_Suelo","Temporada","Estado_Ecológico","Riesgo_Eutrofización","Presión_Antrópica"
"238",238,7.2,23.4,4.3,9.5,360,"Costa","Mixto","Otoño","Bueno","Alto","Media"
"239",239,7.1,21.9,3.9,8.7,342,"Zona húmeda","Mixto","Otoño","Muy bueno","Bajo","Media"
"240",240,7.33,22.5,4.6,9.9,370,"Pla agrícola","Agrícola","Otoño","Bueno","Alto","Alta"
"241",241,7.07,24.8200977139175,3.8,8,345,"Serra de Tramuntana","Natural","Verano","Bueno","Bajo","Baja"
"242",242,7.21,20.8,4.5,9.3,359,"Pla agrícola","Agrícola","Otoño","Bueno","Alto","Alta"
"243",243,7.23,22.3,4.1,8.9,355,"Zona urbana","Urbano","Primavera","Bueno","Alto","Alta"
"244",244,7.16,24.538492198009,4.4,8.1,338,"Pla agrícola","Agrícola","Verano","Bueno","Medio","Alta"
"245",245,7.28,25.937078647688,3.7,9.6,367,"Costa","Mixto","Verano","Muy bueno","Alto","Media"
"246",246,7.09,23.136305072438,4.6,7.5,329,"Pla agrícola","Agrícola","Verano","Bueno","Medio","Alta"
"247",247,7.22,22,4.3,8.6,347,"Zona urbana","Urbano","Otoño","Bueno","Medio","Alta"
"248",248,7.04,23.2,3.9,7.8,332,"Serra de Tramuntana","Natural","Primavera","Bueno","Bajo","Baja"
"249",249,7.35,21.5,4.7,9.7,366,"Serra de Tramuntana","Natural","Otoño","Bueno","Alto","Baja"
"250",250,7.08,20.5426439590752,3.8,8.2,340,"Costa","Mixto","Invierno","Muy bueno","Bajo","Media"
"251",251,7.26,21.3,4.5,9.2,358,"Costa","Mixto","Otoño","Bueno","Alto","Media"
"252",252,7.03,22.2,4.2,7.6,329,"Zona urbana","Urbano","Otoño","Bueno","Medio","Alta"
"253",253,7.15,23,3.6,9.1,353,"Zona urbana","Urbano","Primavera","Muy bueno","Alto","Alta"
"254",254,7.19,20.6,4.4,8.5,342,"Serra de Tramuntana","Natural","Primavera","Bueno","Medio","Baja"
"255",255,7.11,22.5,3.9,9.4,363,"Serra de Tramuntana","Natural","Otoño","Muy bueno","Alto","Baja"
"256",256,7.01,19.3191189507954,4.6,7.8,328,"Zona húmeda","Mixto","Invierno","Bueno","Medio","Media"
"257",257,7.31,23.3,4.1,9.2,362,"Serra de Tramuntana","Natural","Otoño","Bueno","Alto","Baja"
"258",258,7.02,18.0567627834156,4.5,8.7,337,"Serra de Tramuntana","Natural","Invierno","Bueno","Medio","Baja"
"259",259,7.25,20.3348210041411,3.8,9.5,359,"Zona húmeda","Mixto","Invierno","Muy bueno","Alto","Media"
"260",260,7.12,21.4,4.3,7.9,336,"Zona urbana","Urbano","Otoño","Bueno","Medio","Alta"
"261",261,7.16,22.1,3.9,8.3,342,"Serra de Tramuntana","Natural","Primavera","Muy bueno","Bajo","Baja"
"262",262,7.29,23.5243644418195,4.6,9.2,355,"Zona urbana","Urbano","Verano","Bueno","Alto","Alta"
"263",263,7.01,24.2233909673058,4.3,7.7,329,"Serra de Tramuntana","Natural","Verano","Bueno","Medio","Baja"
"264",264,7.18,21.2498627137393,3.7,9.1,352,"Serra de Tramuntana","Natural","Invierno","Muy bueno","Alto","Baja"
"265",265,7.14,18.1581529164687,4.5,7.9,334,"Costa","Mixto","Invierno","Bueno","Medio","Media"
"266",266,7.25,21.3,4.2,8.4,346,"Serra de Tramuntana","Natural","Otoño","Bueno","Medio","Baja"
"267",267,7.05,22.6,3.8,7.5,328,"Zona urbana","Urbano","Otoño","Bueno","Bajo","Alta"
"268",268,7.2,19.6378480855376,4.7,8.1,341,"Zona húmeda","Mixto","Invierno","Bueno","Medio","Media"
"269",269,7.1,22.9,3.9,8.7,348,"Serra de Tramuntana","Natural","Primavera","Muy bueno","Bajo","Baja"
"270",270,7.33,23.4,4.6,9.8,368,"Zona húmeda","Mixto","Otoño","Bueno","Alto","Media"
"271",271,7.07,20.6,3.8,7.7,331,"Serra de Tramuntana","Natural","Primavera","Bueno","Bajo","Baja"
"272",272,7.21,22.1,4.5,8.9,355,"Costa","Mixto","Primavera","Bueno","Alto","Media"
"273",273,7.23,24.7424933791161,4.2,8.6,351,"Pla agrícola","Agrícola","Verano","Bueno","Alto","Alta"
"274",274,7.16,20.8,4.3,8,332,"Zona urbana","Urbano","Primavera","Bueno","Medio","Alta"
"275",275,7.28,25.8060732181184,3.6,9.4,362,"Zona húmeda","Mixto","Verano","Muy bueno","Alto","Media"
"276",276,7.09,19.1736069881357,4.5,7.8,338,"Zona urbana","Urbano","Invierno","Bueno","Medio","Alta"
"277",277,7.22,23.3856973228976,4.4,8.5,345,"Costa","Mixto","Verano","Bueno","Medio","Media"
"278",278,7.04,24.7066000799648,3.7,8.2,333,"Zona urbana","Urbano","Verano","Muy bueno","Bajo","Alta"
"279",279,7.35,21.4,4.6,9.7,370,"Pla agrícola","Agrícola","Primavera","Bueno","Alto","Alta"
"280",280,7.08,20.5804235854186,3.9,7.9,335,"Pla agrícola","Agrícola","Invierno","Bueno","Bajo","Alta"
"281",281,7.26,22.7196425367147,4.5,9.3,359,"Serra de Tramuntana","Natural","Verano","Bueno","Alto","Baja"
"282",282,7.03,25.9932881293818,4.2,7.6,327,"Zona húmeda","Mixto","Verano","Bueno","Medio","Media"
"283",283,7.15,21.1,4.1,8.3,342,"Zona urbana","Urbano","Primavera","Bueno","Medio","Alta"
"284",284,7.19,22.5,4.3,9,351,"Costa","Mixto","Primavera","Bueno","Alto","Media"
"285",285,7.11,24.9551986121573,3.8,8,339,"Zona urbana","Urbano","Verano","Bueno","Bajo","Alta"
"286",286,7.01,22.240540130157,4.6,7.2,328,"Pla agrícola","Agrícola","Verano","Bueno","Medio","Alta"
"287",287,7.31,21.6,3.9,9.2,358,"Costa","Mixto","Otoño","Muy bueno","Alto","Media"
"288",288,7.02,21.1813109138049,4.4,7.4,337,"Zona urbana","Urbano","Invierno","Bueno","Medio","Alta"
"289",289,7.25,21.8,4.1,8.9,345,"Pla agrícola","Agrícola","Primavera","Bueno","Medio","Alta"
"290",290,7.12,23.5,4.5,7.9,333,"Zona urbana","Urbano","Otoño","Bueno","Medio","Alta"
"291",291,7.16,22.7552573850378,4,8.3,341,"Costa","Mixto","Verano","Bueno","Bajo","Media"
"292",292,7.29,25.2030173052102,4.7,9.2,360,"Zona urbana","Urbano","Verano","Bueno","Alto","Alta"
"293",293,7.01,21,4.5,7.7,328,"Serra de Tramuntana","Natural","Primavera","Bueno","Medio","Baja"
"294",294,7.18,23.2,3.9,9.1,353,"Costa","Mixto","Otoño","Muy bueno","Alto","Media"
"295",295,7.14,18.1499589165673,4.4,7.9,336,"Pla agrícola","Agrícola","Invierno","Bueno","Medio","Alta"
"296",296,7.25,20.697828927543,3.8,8.4,343,"Pla agrícola","Agrícola","Invierno","Muy bueno","Bajo","Alta"
"297",297,7.05,21.1,4.3,7.5,330,"Costa","Mixto","Primavera","Bueno","Medio","Media"
"298",298,7.2,22.9,4.6,8.1,346,"Costa","Mixto","Otoño","Bueno","Medio","Media"
"299",299,7.1,21.8,3.9,8.7,342,"Costa","Mixto","Primavera","Muy bueno","Bajo","Media"
"300",300,7.33,20.3161102984101,4.5,9.8,366,"Zona urbana","Urbano","Invierno","Bueno","Alto","Alta"
"301",301,7.07,22.654568665009,3.8,7.7,331,"Serra de Tramuntana","Natural","Verano","Bueno","Bajo","Baja"
"302",302,7.21,22.6,4.5,8.9,356,"Pla agrícola","Agrícola","Otoño","Bueno","Alto","Alta"
"303",303,7.23,22.5381387135014,4.2,8.6,344,"Zona urbana","Urbano","Verano","Bueno","Medio","Alta"
"304",304,7.16,23,3.6,9.1,354,"Costa","Mixto","Primavera","Muy bueno","Alto","Media"
"305",305,7.28,20.8,4.5,9.5,361,"Costa","Mixto","Primavera","Bueno","Alto","Media"
"306",306,7.09,23.6804323268123,3.9,9.4,363,"Zona urbana","Urbano","Verano","Muy bueno","Alto","Alta"
"307",307,7.22,23.2,4.3,8.5,350,"Serra de Tramuntana","Natural","Otoño","Bueno","Medio","Baja"
"308",308,7.04,20.6,4.4,7.8,335,"Serra de Tramuntana","Natural","Primavera","Bueno","Medio","Baja"
"309",309,7.35,22.1,3.7,9.7,368,"Zona urbana","Urbano","Otoño","Muy bueno","Alto","Alta"
"310",310,7.08,20.5071485411376,4.6,8.2,349,"Serra de Tramuntana","Natural","Invierno","Bueno","Medio","Baja"
"311",311,7.26,23.3935041406192,3.9,9.2,359,"Serra de Tramuntana","Natural","Verano","Muy bueno","Alto","Baja"
"312",312,7.03,22,4.2,7.6,328,"Pla agrícola","Agrícola","Primavera","Bueno","Medio","Alta"
"313",313,7.15,23.1,3.6,8.9,352,"Costa","Mixto","Primavera","Muy bueno","Alto","Media"
"314",314,7.19,21.4,4.3,7.8,336,"Serra de Tramuntana","Natural","Primavera","Bueno","Medio","Baja"
"315",315,7.11,19.8723559107631,4.5,8.3,347,"Costa","Mixto","Invierno","Bueno","Medio","Media"
"316",316,7.01,19.5387624024414,4.6,7.1,327,"Serra de Tramuntana","Natural","Invierno","Bueno","Medio","Baja"
"317",317,7.31,22.5,3.8,9.4,362,"Costa","Mixto","Primavera","Muy bueno","Alto","Media"
"318",318,7.02,18.2235322644003,4.7,7.5,334,"Pla agrícola","Agrícola","Invierno","Bueno","Medio","Alta"
"319",319,7.25,23,3.9,8.7,358,"Zona urbana","Urbano","Primavera","Muy bueno","Alto","Alta"
"320",320,7.12,23.073719082959,4.4,8.2,339,"Serra de Tramuntana","Natural","Verano","Bueno","Medio","Baja"
"321",321,7.16,21.7,4.1,8.3,344,"Costa","Mixto","Otoño","Bueno","Medio","Media"
"322",322,7.29,21.0261974494904,4.8,9.2,361,"Pla agrícola","Agrícola","Invierno","Bueno","Alto","Alta"
"323",323,7.01,23.1390430201776,4.6,7.7,329,"Zona húmeda","Mixto","Verano","Bueno","Medio","Media"
"324",324,7.18,23.1,4,9.1,354,"Pla agrícola","Agrícola","Otoño","Bueno","Alto","Alta"
"325",325,7.14,19.4576796072535,4.4,7.9,336,"Zona húmeda","Mixto","Invierno","Bueno","Medio","Media"
"326",326,7.25,22.3,3.8,8.4,344,"Pla agrícola","Agrícola","Otoño","Muy bueno","Bajo","Alta"
"327",327,7.05,22.9082693932578,4.3,7.5,329,"Pla agrícola","Agrícola","Verano","Bueno","Medio","Alta"
"328",328,7.2,22.9,4.7,8.1,347,"Pla agrícola","Agrícola","Otoño","Bueno","Medio","Alta"
"329",329,7.1,21.8,4,8.7,343,"Serra de Tramuntana","Natural","Primavera","Bueno","Bajo","Baja"
"330",330,7.33,23.2,4.6,9.8,367,"Zona urbana","Urbano","Primavera","Bueno","Alto","Alta"
"331",331,7.07,20.8,3.8,7.7,332,"Zona urbana","Urbano","Otoño","Bueno","Bajo","Alta"
"332",332,7.21,20.2709634635597,4.5,8.9,356,"Pla agrícola","Agrícola","Invierno","Bueno","Alto","Alta"
"333",333,7.23,21.2,4.2,8.6,343,"Zona urbana","Urbano","Otoño","Bueno","Medio","Alta"
"334",334,7.16,25.4339475422166,3.6,9.1,354,"Zona urbana","Urbano","Verano","Muy bueno","Alto","Alta"
"335",335,7.28,23.4537248109467,4.5,9.5,362,"Pla agrícola","Agrícola","Verano","Bueno","Alto","Alta"
"336",336,7.09,20.7600706098601,3.9,9.4,363,"Serra de Tramuntana","Natural","Invierno","Muy bueno","Alto","Baja"
"337",337,7.22,23.3,4.3,8.5,350,"Costa","Mixto","Primavera","Bueno","Medio","Media"
"338",338,7.04,18.6747514571063,4.4,7.8,335,"Costa","Mixto","Invierno","Bueno","Medio","Media"
"339",339,7.35,22.6,3.7,9.7,369,"Costa","Mixto","Otoño","Muy bueno","Alto","Media"
"340",340,7.08,21.3,4.6,8.2,340,"Zona urbana","Urbano","Primavera","Bueno","Medio","Alta"
"341",341,7.26,21.2194005692378,3.9,9.2,360,"Pla agrícola","Agrícola","Invierno","Muy bueno","Alto","Alta"
"342",342,7.03,20.1881833868101,4.2,7.6,330,"Pla agrícola","Agrícola","Invierno","Bueno","Medio","Alta"
"343",343,7.15,20.498164778389,3.6,8.9,353,"Pla agrícola","Agrícola","Invierno","Muy bueno","Alto","Alta"
"344",344,7.19,21.4,4.3,7.8,336,"Serra de Tramuntana","Natural","Primavera","Bueno","Medio","Baja"
"345",345,7.11,20.4698594969697,4.5,8.3,347,"Zona urbana","Urbano","Invierno","Bueno","Medio","Alta"
"346",346,7.01,21.9467346311547,4.6,7.1,327,"Zona húmeda","Mixto","Verano","Bueno","Medio","Media"
"347",347,7.31,22.5,3.8,9.4,361,"Pla agrícola","Agrícola","Primavera","Muy bueno","Alto","Alta"
"348",348,7.02,22.9308105938137,4.7,7.5,334,"Zona urbana","Urbano","Verano","Bueno","Medio","Alta"
"349",349,7.25,23,3.9,8.7,359,"Zona urbana","Urbano","Primavera","Muy bueno","Alto","Alta"
"350",350,7.12,22.8294738247991,4.4,8.2,339,"Zona urbana","Urbano","Verano","Bueno","Medio","Alta"
"351",351,7.16,21.7,4.1,8.3,344,"Serra de Tramuntana","Natural","Otoño","Bueno","Medio","Baja"
"352",352,7.29,22.8,4.8,9.2,361,"Serra de Tramuntana","Natural","Otoño","Bueno","Alto","Baja"
"353",353,7.01,19.4031827017665,4.6,7.7,329,"Serra de Tramuntana","Natural","Invierno","Bueno","Medio","Baja"
"354",354,7.18,25.5599566282704,4,9.1,354,"Serra de Tramuntana","Natural","Verano","Bueno","Alto","Baja"
"355",355,7.14,20.7,4.4,7.9,336,"Serra de Tramuntana","Natural","Primavera","Bueno","Medio","Baja"
"356",356,7.25,22.3,3.8,8.4,344,"Pla agrícola","Agrícola","Primavera","Muy bueno","Bajo","Alta"
"357",357,7.05,21,4.3,7.5,329,"Serra de Tramuntana","Natural","Otoño","Bueno","Medio","Baja"
"358",358,7.2,20.0376956989989,4.7,8.1,347,"Costa","Mixto","Invierno","Bueno","Medio","Media"
"359",359,7.1,21.8,4,8.7,343,"Serra de Tramuntana","Natural","Primavera","Bueno","Bajo","Baja"
"360",360,7.33,23.2,4.6,9.8,367,"Pla agrícola","Agrícola","Otoño","Bueno","Alto","Alta"
"361",361,7.07,20.8,3.8,7.7,332,"Zona urbana","Urbano","Primavera","Bueno","Bajo","Alta"
"362",362,7.21,22.4,4.5,8.9,356,"Serra de Tramuntana","Natural","Primavera","Bueno","Alto","Baja"
"363",363,7.23,22.6799882173538,4.2,8.6,343,"Costa","Mixto","Verano","Bueno","Medio","Media"
"364",364,7.16,23,3.6,9.1,354,"Pla agrícola","Agrícola","Otoño","Muy bueno","Alto","Alta"
"365",365,7.28,18.532389628794,4.5,9.5,362,"Serra de Tramuntana","Natural","Invierno","Bueno","Alto","Baja"
"366",366,7.09,24.0256940037943,3.9,9.4,363,"Pla agrícola","Agrícola","Verano","Muy bueno","Alto","Alta"
"367",367,7.22,20.9939012170769,4.3,8.5,350,"Serra de Tramuntana","Natural","Invierno","Bueno","Medio","Baja"
"368",368,7.04,20.7,4.4,7.8,335,"Zona urbana","Urbano","Otoño","Bueno","Medio","Alta"
"369",369,7.35,21.5929680968635,3.7,9.7,369,"Serra de Tramuntana","Natural","Invierno","Muy bueno","Alto","Baja"
"370",370,7.08,21.3,4.6,8.2,340,"Serra de Tramuntana","Natural","Primavera","Bueno","Medio","Baja"
"371",371,7.26,25.857390152663,3.9,9.2,360,"Pla agrícola","Agrícola","Verano","Muy bueno","Alto","Alta"
"372",372,7.03,22,4.2,7.6,330,"Serra de Tramuntana","Natural","Otoño","Bueno","Medio","Baja"
"373",373,7.15,24.6107915791683,3.6,8.9,353,"Pla agrícola","Agrícola","Verano","Muy bueno","Alto","Alta"
"374",374,7.19,20.1028698590584,4.3,7.8,336,"Zona urbana","Urbano","Invierno","Bueno","Medio","Alta"
"375",375,7.11,24.458815550711,4.5,8.3,347,"Zona urbana","Urbano","Verano","Bueno","Medio","Alta"
"376",376,7.01,20.8,4.6,7.1,327,"Costa","Mixto","Otoño","Bueno","Medio","Media"
"377",377,7.31,20.8501090854406,3.8,9.4,361,"Pla agrícola","Agrícola","Invierno","Muy bueno","Alto","Alta"
"378",378,7.02,23.1323494131677,4.7,7.5,334,"Zona húmeda","Mixto","Verano","Bueno","Medio","Media"
"379",379,7.25,23,3.9,8.7,359,"Serra de Tramuntana","Natural","Otoño","Muy bueno","Alto","Baja"
"380",380,7.12,17.9874994168989,4.4,8.2,339,"Zona urbana","Urbano","Invierno","Bueno","Medio","Alta"
"381",381,7.16,21.7,4.1,8.3,344,"Pla agrícola","Agrícola","Otoño","Bueno","Medio","Alta"
"382",382,7.29,23.8160830710083,4.8,9.2,361,"Pla agrícola","Agrícola","Verano","Bueno","Alto","Alta"
"383",383,7.01,18.5697361720726,4.6,7.7,329,"Zona húmeda","Mixto","Invierno","Bueno","Medio","Media"
"384",384,7.18,24.8550801117904,4,9.1,354,"Serra de Tramuntana","Natural","Verano","Bueno","Alto","Baja"
"385",385,7.14,23.6717351095751,4.4,7.9,336,"Zona húmeda","Mixto","Verano","Bueno","Medio","Media"
"386",386,7.25,22.3,3.8,8.4,344,"Serra de Tramuntana","Natural","Primavera","Muy bueno","Bajo","Baja"
"387",387,7.05,23.1244362061843,4.3,7.5,329,"Serra de Tramuntana","Natural","Verano","Bueno","Medio","Baja"
"388",388,7.2,21.8123428124003,4.7,8.1,347,"Zona húmeda","Mixto","Invierno","Bueno","Medio","Media"
"389",389,7.1,19.5329847463407,4,8.7,343,"Serra de Tramuntana","Natural","Invierno","Bueno","Bajo","Baja"
"390",390,7.33,23.2,4.6,9.8,367,"Serra de Tramuntana","Natural","Primavera","Bueno","Alto","Baja"
"391",391,7.07,19.5618082812987,3.8,7.7,332,"Zona húmeda","Mixto","Invierno","Bueno","Bajo","Media"
"392",392,7.21,22.4,4.5,8.9,356,"Zona urbana","Urbano","Otoño","Bueno","Alto","Alta"
"393",393,7.23,22.713901735656,4.2,8.6,343,"Pla agrícola","Agrícola","Verano","Bueno","Medio","Alta"
"394",394,7.16,23,3.6,9.1,354,"Pla agrícola","Agrícola","Primavera","Muy bueno","Alto","Alta"
"395",395,7.28,20.9,4.5,9.5,362,"Pla agrícola","Agrícola","Otoño","Bueno","Alto","Alta"
"396",396,7.09,22.5,3.9,9.4,363,"Costa","Mixto","Primavera","Muy bueno","Alto","Media"
"397",397,7.22,20.8814457181841,4.3,8.5,350,"Zona urbana","Urbano","Invierno","Bueno","Medio","Alta"
"398",398,7.04,20.7,4.4,7.8,335,"Pla agrícola","Agrícola","Otoño","Bueno","Medio","Alta"
"399",399,7.35,24.8907857447863,3.7,9.7,369,"Serra de Tramuntana","Natural","Verano","Muy bueno","Alto","Baja"
"400",400,7.08,20.1385536745191,4.6,8.2,340,"Serra de Tramuntana","Natural","Invierno","Bueno","Medio","Baja"
"401",401,7.26,20.1642311987467,3.9,9.2,360,"Serra de Tramuntana","Natural","Invierno","Muy bueno","Alto","Baja"
"402",402,7.03,24.2194214039482,4.2,7.6,330,"Serra de Tramuntana","Natural","Verano","Bueno","Medio","Baja"
"403",403,7.15,24.6487442672253,3.6,8.9,353,"Serra de Tramuntana","Natural","Verano","Muy bueno","Alto","Baja"
"404",404,7.19,21.4,4.3,7.8,336,"Pla agrícola","Agrícola","Otoño","Bueno","Medio","Alta"
"405",405,7.11,22.7,4.5,8.3,347,"Serra de Tramuntana","Natural","Primavera","Bueno","Medio","Baja"
"406",406,7.01,20.8,4.6,7.1,327,"Costa","Mixto","Primavera","Bueno","Medio","Media"
"407",407,7.31,22.5,3.8,9.4,361,"Zona urbana","Urbano","Primavera","Muy bueno","Alto","Alta"
"408",408,7.02,21.2,4.7,7.5,334,"Zona húmeda","Mixto","Primavera","Bueno","Medio","Media"
"409",409,7.25,23,3.9,8.7,359,"Serra de Tramuntana","Natural","Primavera","Muy bueno","Alto","Baja"
"410",410,7.12,20.9,4.4,8.2,339,"Zona húmeda","Mixto","Primavera","Bueno","Medio","Media"
"411",411,7.16,24.4272106586024,4.1,8.3,344,"Costa","Mixto","Verano","Bueno","Medio","Media"
"412",412,7.29,22.8,4.8,9.2,361,"Zona húmeda","Mixto","Primavera","Bueno","Alto","Media"
"413",413,7.01,21.4,4.6,7.7,329,"Zona urbana","Urbano","Primavera","Bueno","Medio","Alta"
"414",414,7.18,23.1,4,9.1,354,"Serra de Tramuntana","Natural","Primavera","Bueno","Alto","Baja"
"415",415,7.14,20.7,4.4,7.9,336,"Serra de Tramuntana","Natural","Primavera","Bueno","Medio","Baja"
"416",416,7.25,23.5014255756512,3.8,8.4,344,"Costa","Mixto","Verano","Muy bueno","Bajo","Media"
"417",417,7.05,22.6244644890539,4.3,7.5,329,"Zona urbana","Urbano","Verano","Bueno","Medio","Alta"
"418",418,7.2,22.9,4.7,8.1,347,"Pla agrícola","Agrícola","Primavera","Bueno","Medio","Alta"
"419",419,7.1,21.8,4,8.7,343,"Costa","Mixto","Otoño","Bueno","Bajo","Media"
"420",420,7.33,24.8784481136128,4.6,9.8,367,"Pla agrícola","Agrícola","Verano","Bueno","Alto","Alta"
"421",421,7.07,20.8,3.8,7.7,332,"Zona húmeda","Mixto","Primavera","Bueno","Bajo","Media"
"422",422,7.21,20.2038435708731,4.5,8.9,356,"Zona urbana","Urbano","Invierno","Bueno","Alto","Alta"
"423",423,7.23,21.2,4.2,8.6,343,"Pla agrícola","Agrícola","Otoño","Bueno","Medio","Alta"
"424",424,7.16,21.5272481362335,3.6,9.1,354,"Zona húmeda","Mixto","Invierno","Muy bueno","Alto","Media"
"425",425,7.28,20.9,4.5,9.5,362,"Pla agrícola","Agrícola","Primavera","Bueno","Alto","Alta"
"426",426,7.09,21.3155218446627,3.9,9.4,363,"Serra de Tramuntana","Natural","Invierno","Muy bueno","Alto","Baja"
"427",427,7.22,20.8259175193496,4.3,8.5,350,"Pla agrícola","Agrícola","Invierno","Bueno","Medio","Alta"
"428",428,7.04,23.3918565998785,4.4,7.8,335,"Zona húmeda","Mixto","Verano","Bueno","Medio","Media"
"429",429,7.35,20.2718246964738,3.7,9.7,369,"Zona húmeda","Mixto","Invierno","Muy bueno","Alto","Media"
"430",430,7.08,21.3,4.6,8.2,340,"Pla agrícola","Agrícola","Otoño","Bueno","Medio","Alta"
"431",431,7.26,21.2599566512741,3.9,9.2,360,"Zona húmeda","Mixto","Invierno","Muy bueno","Alto","Media"
"432",432,7.03,20.7240661550313,4.2,7.6,330,"Pla agrícola","Agrícola","Invierno","Bueno","Medio","Alta"
"433",433,7.15,24.2296957776882,3.6,8.9,353,"Costa","Mixto","Verano","Muy bueno","Alto","Media"
"434",434,7.19,23.8868296533823,4.3,7.8,336,"Costa","Mixto","Verano","Bueno","Medio","Media"
"435",435,7.11,23.8367703573778,4.5,8.3,347,"Pla agrícola","Agrícola","Verano","Bueno","Medio","Alta"
"436",436,7.01,22.8640412615612,4.6,7.1,327,"Pla agrícola","Agrícola","Verano","Bueno","Medio","Alta"
"437",437,7.31,20.3637272366323,3.8,9.4,361,"Zona urbana","Urbano","Invierno","Muy bueno","Alto","Alta"
"438",438,7.02,21.2,4.7,7.5,334,"Zona húmeda","Mixto","Otoño","Bueno","Medio","Media"
"439",439,7.25,24.1120401355438,3.9,8.7,359,"Zona urbana","Urbano","Verano","Muy bueno","Alto","Alta"
"440",440,7.12,20.9,4.4,8.2,339,"Zona urbana","Urbano","Primavera","Bueno","Medio","Alta"
"441",441,7.16,19.9283055018634,4.1,8.3,344,"Serra de Tramuntana","Natural","Invierno","Bueno","Medio","Baja"
"442",442,7.29,24.2884827933274,4.8,9.2,361,"Zona urbana","Urbano","Verano","Bueno","Alto","Alta"
"443",443,7.01,22.7207448744215,4.6,7.7,329,"Serra de Tramuntana","Natural","Verano","Bueno","Medio","Baja"
"444",444,7.18,23.1,4,9.1,354,"Pla agrícola","Agrícola","Primavera","Bueno","Alto","Alta"
"445",445,7.14,21.7304223876446,4.4,7.9,336,"Costa","Mixto","Verano","Bueno","Medio","Media"
"446",446,7.25,22.3,3.8,8.4,344,"Costa","Mixto","Otoño","Muy bueno","Bajo","Media"
"447",447,7.05,22.5237544355914,4.3,7.5,329,"Serra de Tramuntana","Natural","Verano","Bueno","Medio","Baja"
"448",448,7.2,22.9,4.7,8.1,347,"Pla agrícola","Agrícola","Primavera","Bueno","Medio","Alta"
"449",449,7.1,21.8,4,8.7,343,"Zona urbana","Urbano","Otoño","Bueno","Bajo","Alta"
"450",450,7.33,25.3604368179105,4.6,9.8,367,"Pla agrícola","Agrícola","Verano","Bueno","Alto","Alta"
"451",451,7.07,23.4084365514107,3.8,7.7,332,"Zona urbana","Urbano","Verano","Bueno","Bajo","Alta"
"452",452,7.21,22.4,4.5,8.9,356,"Costa","Mixto","Primavera","Bueno","Alto","Media"
"453",453,7.23,22.4697006617673,4.2,8.6,343,"Costa","Mixto","Verano","Bueno","Medio","Media"
"454",454,7.16,25.5472258403897,3.6,9.1,354,"Serra de Tramuntana","Natural","Verano","Muy bueno","Alto","Baja"
"455",455,7.28,19.3358030934818,4.5,9.5,362,"Zona urbana","Urbano","Invierno","Bueno","Alto","Alta"
"456",456,7.09,19.7696258225478,3.9,9.4,363,"Costa","Mixto","Invierno","Muy bueno","Alto","Media"
"457",457,7.22,22.2359299056232,4.3,8.5,350,"Serra de Tramuntana","Natural","Invierno","Bueno","Medio","Baja"
"458",458,7.04,20.7,4.4,7.8,335,"Costa","Mixto","Primavera","Bueno","Medio","Media"
"459",459,7.35,22.6,3.7,9.7,369,"Costa","Mixto","Primavera","Muy bueno","Alto","Media"
"460",460,7.08,23.20122476127,4.6,8.2,340,"Serra de Tramuntana","Natural","Verano","Bueno","Medio","Baja"
"461",461,7.26,23.1,3.9,9.2,360,"Zona húmeda","Mixto","Otoño","Muy bueno","Alto","Media"
"462",462,7.03,24.2123749707825,4.2,7.6,330,"Costa","Mixto","Verano","Bueno","Medio","Media"
"463",463,7.15,26.1492594995536,3.6,8.9,353,"Costa","Mixto","Verano","Muy bueno","Alto","Media"
"464",464,7.19,22.7983487626538,4.3,7.8,336,"Serra de Tramuntana","Natural","Verano","Bueno","Medio","Baja"
"465",465,7.11,20.3589356055483,4.5,8.3,347,"Serra de Tramuntana","Natural","Invierno","Bueno","Medio","Baja"
"466",466,7.01,19.4250975746661,4.6,7.1,327,"Zona húmeda","Mixto","Invierno","Bueno","Medio","Media"
"467",467,7.31,19.7365136542358,3.8,9.4,361,"Zona húmeda","Mixto","Invierno","Muy bueno","Alto","Media"
"468",468,7.02,22.3983971265145,4.7,7.5,334,"Serra de Tramuntana","Natural","Verano","Bueno","Medio","Baja"
"469",469,7.25,23,3.9,8.7,359,"Pla agrícola","Agrícola","Otoño","Muy bueno","Alto","Alta"
"470",470,7.12,20.9,4.4,8.2,339,"Pla agrícola","Agrícola","Primavera","Bueno","Medio","Alta"
"471",471,7.16,22.7530585539527,4.1,8.3,344,"Costa","Mixto","Verano","Bueno","Medio","Media"
"472",472,7.29,22.8,4.8,9.2,361,"Serra de Tramuntana","Natural","Otoño","Bueno","Alto","Baja"
"473",473,7.01,19.8428537818603,4.6,7.7,329,"Costa","Mixto","Invierno","Bueno","Medio","Media"
"474",474,7.18,21.9447689758614,4,9.1,354,"Pla agrícola","Agrícola","Invierno","Bueno","Alto","Alta"
"475",475,7.14,20.7,4.4,7.9,336,"Pla agrícola","Agrícola","Primavera","Bueno","Medio","Alta"
"476",476,7.25,22.3,3.8,8.4,344,"Costa","Mixto","Primavera","Muy bueno","Bajo","Media"
"477",477,7.05,23.5046533495188,4.3,7.5,329,"Pla agrícola","Agrícola","Verano","Bueno","Medio","Alta"
